品牌,基本参数_级别,基本参数_能源类型,基本参数_上市时间,基本参数_车身结构,基本参数_厂商指导价(元),基本参数_整车质保,基本参数_变速箱,基本参数_发动机,车身_车身结构,发动机_燃油标号
现代,紧凑型车,汽油,2023-08-25,4门5座三厢车,9.98万,三年或10万公里,CVT无级变速,1.5L 115马力 L4,三厢车,92号
现代,紧凑型车,汽油,2023-08-25,4门5座三厢车,11.28万,三年或10万公里,CVT无级变速,1.5L 115马力 L4,三厢车,92号
现代,紧凑型车,汽油,2023-08-25,4门5座三厢车,12.38万,三年或10万公里,CVT无级变速,1.5L 115马力 L4,三厢车,92号
现代,紧凑型车,汽油,2023-08-25,4门5座三厢车,13.38万,三年或10万公里,CVT无级变速,1.5L 115马力 L4,三厢车,92号
现代,紧凑型车,汽油,2023-10-21,4门5座三厢车,12.98万,三年或10万公里,7挡干式双离合,1.4T 140马力 L4,三厢车,92号
现代,紧凑型车,汽油,2023-10-21,4门5座三厢车,13.98万,三年或10万公里,7挡干式双离合,1.4T 140马力 L4,三厢车,92号
现代,紧凑型车,汽油,2023-10-21,4门5座三厢车,14.98万,三年或10万公里,7挡干式双离合,1.4T 140马力 L4,三厢车,92号
比亚迪,紧凑型SUV,插电式混合动力,2024-09-23,5门5座SUV,11.28万,六年或15万公里,E-CVT无级变速,1.5L 101马力 L4,SUV,92号
比亚迪,紧凑型SUV,插电式混合动力,2024-09-23,5门5座SUV,12.28万,六年或15万公里,E-CVT无级变速,1.5L 101马力 L4,SUV,92号
比亚迪,紧凑型SUV,插电式混合动力,2024-09-23,5门5座SUV,13.28万,六年或15万公里,E-CVT无级变速,1.5L 101马力 L4,SUV,92号
比亚迪,紧凑型SUV,插电式混合动力,2024-09-23,5门5座SUV,14.28万,六年或15万公里,E-CVT无级变速,1.5L 101马力 L4,SUV,92号
比亚迪,紧凑型SUV,插电式混合动力,2025-02-10,5门5座SUV,10.28万,六年或15万公里,E-CVT无级变速,1.5L 101马力 L4,SUV,92号
比亚迪,紧凑型SUV,插电式混合动力,2025-02-10,5门5座SUV,11.28万,六年或15万公里,E-CVT无级变速,1.5L 101马力 L4,SUV,92号
比亚迪,紧凑型SUV,插电式混合动力,2025-02-10,5门5座SUV,12.28万,六年或15万公里,E-CVT无级变速,1.5L 101马力 L4,SUV,92号
比亚迪,紧凑型SUV,插电式混合动力,2025-02-10,5门5座SUV,13.28万,六年或15万公里,E-CVT无级变速,1.5L 101马力 L4,SUV,92号
阿维塔,中型车,增程式,2025-04-19,4门5座三厢车,20.99万,五年或12万公里,电动车单速变速箱,增程器 156马力,三厢车,92号
阿维塔,中型车,增程式,2025-11-03,4门5座三厢车,21.99万,五年或12万公里,电动车单速变速箱,增程器 156马力,三厢车,92号
阿维塔,中型车,增程式,2025-04-19,4门5座三厢车,23.99万,五年或12万公里,电动车单速变速箱,增程器 156马力,三厢车,92号
阿维塔,中型车,增程式,2025-08-29,4门5座三厢车,26.99万,五年或12万公里,电动车单速变速箱,增程器 156马力,三厢车,92号
阿维塔,中型车,纯电动,2025-04-19,4门5座三厢车,21.99万,五年或12万公里,电动车单速变速箱,纯电动,三厢车,-
阿维塔,中型车,纯电动,2025-11-03,4门5座三厢车,22.99万,五年或12万公里,电动车单速变速箱,纯电动,三厢车,-
阿维塔,中型车,纯电动,2025-04-19,4门5座三厢车,24.99万,五年或12万公里,电动车单速变速箱,纯电动,三厢车,-
阿维塔,中型车,纯电动,2025-04-19,4门5座三厢车,27.99万,五年或12万公里,电动车单速变速箱,纯电动,三厢车,-
红旗,中大型SUV,纯电动,2025-04-01,5门5座SUV,21.59万,四年或10万公里,,,SUV,
红旗,中大型SUV,纯电动,2025-01-07,5门5座SUV,23.98万,四年或10万公里,,,SUV,
红旗,中大型SUV,纯电动,2025-04-24,5门5座SUV,24.98万,四年或10万公里,,,SUV,
红旗,中大型SUV,纯电动,2025-04-24,5门5座SUV,30.98万,四年或10万公里,,,SUV,
红旗,中大型SUV,纯电动,2025-04-01,5门5座SUV,24.59万,四年或10万公里,,,SUV,
红旗,中大型SUV,纯电动,2025-04-24,5门5座SUV,27.98万,四年或10万公里,,,SUV,
红旗,中大型SUV,纯电动,2025-04-24,5门5座SUV,33.98万,四年或10万公里,,,SUV,
红旗,中大型SUV,纯电动,2025-01-07,5门5座SUV,24.98万,四年或10万公里,,,SUV,
红旗,中大型SUV,纯电动,2025-01-07,5门5座SUV,27.98万,四年或10万公里,,,SUV,
红旗,中大型SUV,纯电动,2025-01-07,5门5座SUV,30.98万,四年或10万公里,,,SUV,
红旗,中大型SUV,纯电动,2025-01-07,5门5座SUV,33.98万,四年或10万公里,,,SUV,
合创汽车,中型SUV,纯电动,2021-05-06,5门5座SUV,25.98万,五年不限公里,,,SUV,
合创汽车,中型SUV,纯电动,2021-05-06,5门5座SUV,29.98万,五年不限公里,,,SUV,
奇瑞风云,紧凑型SUV,纯电动,2026-01-26,5门5座SUV,12.99万,三年或10万公里,,,SUV,
奇瑞风云,紧凑型SUV,纯电动,2025-08-16,5门5座SUV,8.99万,三年或10万公里,,,SUV,
奇瑞风云,紧凑型SUV,纯电动,2025-10-01,5门5座SUV,9.99万,三年或10万公里,,,SUV,
奇瑞风云,紧凑型SUV,纯电动,2025-08-16,5门5座SUV,10.99万,三年或10万公里,,,SUV,
捷途,紧凑型SUV,汽油,2026-03-11,5门5座SUV,12.79万,四年或10万公里,7挡湿式双离合,1.5T 184马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2026-03-11,5门5座SUV,13.79万,四年或10万公里,7挡湿式双离合,1.5T 184马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-03-07,5门5座SUV,12.49万,四年或10万公里,7挡湿式双离合,1.5T 184马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-07-15,5门5座SUV,13.29万,四年或10万公里,7挡湿式双离合,1.5T 184马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-03-07,5门5座SUV,13.49万,四年或10万公里,7挡湿式双离合,1.5T 184马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-12-01,5门5座SUV,13.79万,四年或10万公里,7挡湿式双离合,1.5T 184马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-03-07,5门5座SUV,13.89万,四年或10万公里,7挡湿式双离合,1.5T 184马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-03-07,5门5座SUV,14.49万,四年或10万公里,8挡手自一体,2.0T 254马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-06-23,5门5座SUV,14.49万,四年或10万公里,8挡手自一体,2.0T 254马力 L4,SUV,92号
捷途,紧凑型SUV,汽油,2025-03-07,5门5座SUV,15.49万,四年或10万公里,8挡手自一体,2.0T 254马力 L4,SUV,92号
深蓝汽车,大型SUV,增程式,2026-03-24,5门6座SUV,25.99万,五年或10万公里,电动车单速变速箱,增程器 150马力,SUV,92号
深蓝汽车,大型SUV,增程式,2025-09-08,5门6座SUV,23.99万,五年或10万公里,电动车单速变速箱,增程器 150马力,SUV,92号
深蓝汽车,大型SUV,增程式,2025-04-23,5门6座SUV,25.99万,五年或10万公里,电动车单速变速箱,增程器 150马力,SUV,92号
深蓝汽车,大型SUV,增程式,2025-04-23,5门6座SUV,27.99万,五年或10万公里,电动车单速变速箱,增程器 150马力,SUV,92号
深蓝汽车,大型SUV,增程式,2025-09-08,5门6座SUV,27.99万,五年或10万公里,电动车单速变速箱,增程器 150马力,SUV,92号
深蓝汽车,大型SUV,增程式,2025-04-23,5门6座SUV,30.99万,五年或10万公里,电动车单速变速箱,增程器 150马力,SUV,92号
深蓝汽车,大型SUV,增程式,2025-09-08,5门6座SUV,30.99万,五年或10万公里,电动车单速变速箱,增程器 150马力,SUV,92号
吉利银河,紧凑型SUV,插电式混合动力,2025-02-14,5门5座SUV,11.58万,四年或10万公里,1挡DHT,1.5L 112马力 L4,SUV,92号
吉利银河,紧凑型SUV,插电式混合动力,2025-02-14,5门5座SUV,12.58万,四年或10万公里,1挡DHT,1.5L 112马力 L4,SUV,92号
吉利银河,紧凑型SUV,插电式混合动力,2025-02-14,5门5座SUV,13.58万,四年或10万公里,1挡DHT,1.5L 112马力 L4,SUV,92号
吉利银河,紧凑型SUV,插电式混合动力,2025-02-14,5门5座SUV,14.88万,四年或10万公里,3挡DHT,1.5T 163马力 L4,SUV,92号
深蓝汽车,紧凑型SUV,增程式,2025-09-30,5门5座SUV,12.99万,三年或12万公里,电动车单速变速箱,1.5L 98马力 L4,SUV,92号
深蓝汽车,紧凑型SUV,纯电动,2025-08-29,5门5座SUV,11.99万,三年或12万公里,电动车单速变速箱,-,SUV,-
深蓝汽车,紧凑型SUV,纯电动,2025-08-29,5门5座SUV,12.99万,三年或12万公里,电动车单速变速箱,-,SUV,-
深蓝汽车,紧凑型SUV,纯电动,2025-08-29,5门5座SUV,13.99万,三年或12万公里,电动车单速变速箱,-,SUV,-
深蓝汽车,紧凑型SUV,纯电动,2025-08-01,5门5座SUV,12.99万,三年或12万公里,电动车单速变速箱,-,SUV,-
深蓝汽车,紧凑型SUV,纯电动,2025-08-01,5门5座SUV,13.99万,三年或12万公里,电动车单速变速箱,-,SUV,-
