brand,level,energy_code,energy_name,fuel_grade,launch_date,launch_year,launch_month,launch_season,price_wan,warranty_years,warranty_km_wan,displacement_L,horsepower,engine_type,is_electric,gear_count,trans_type,doors,seats,body_type,body_structure
smart,微型车,1,汽油,95,2018-06-14,2018,6,Q2,12.28,3,-1.0,1.0,71.0,L3,0,6.0,DCT,5,4,HATCHBACK,5门4座两厢车
smart,微型车,1,汽油,95,2018-06-14,2018,6,Q2,13.28,3,-1.0,1.0,71.0,L3,0,6.0,DCT,5,4,HATCHBACK,5门4座两厢车
smart,微型车,1,汽油,95,2018-05-02,2018,5,Q2,14.58,3,-1.0,0.9,90.0,L3,0,6.0,DCT,5,4,HATCHBACK,5门4座两厢车
smart,微型车,1,汽油,95,2018-06-14,2018,6,Q2,15.08,3,-1.0,0.9,90.0,L3,0,6.0,DCT,5,4,HATCHBACK,5门4座两厢车
smart,微型车,1,汽油,95,2018-06-14,2018,6,Q2,16.98,3,-1.0,0.9,90.0,L3,0,6.0,DCT,5,4,HATCHBACK,5门4座两厢车
马自达,中大型SUV,1,汽油,92,2012-11-22,2012,11,Q4,43.9,3,10.0,3.7,268.0,V6,0,6.0,AT,5,7,SUV,5门7座SUV
东风风神,紧凑型车,1,汽油,92,2014-03-19,2014,3,Q1,6.58,3,6.0,1.5,116.0,L4,0,5.0,MT,5,5,HATCHBACK,5门5座两厢车
东风风神,紧凑型车,1,汽油,92,2014-09-17,2014,9,Q3,6.88,3,6.0,1.5,116.0,L4,0,5.0,MT,5,5,HATCHBACK,5门5座两厢车
东风风神,紧凑型车,1,汽油,92,2014-08-08,2014,8,Q3,7.58,3,6.0,1.5,116.0,L4,0,4.0,AT,5,5,HATCHBACK,5门5座两厢车
东风风神,紧凑型车,1,汽油,92,2014-03-19,2014,3,Q1,7.78,3,6.0,1.6,106.0,L4,0,5.0,MT,5,5,HATCHBACK,5门5座两厢车
东风风神,紧凑型车,1,汽油,92,2014-09-17,2014,9,Q3,7.78,3,6.0,1.5,116.0,L4,0,5.0,MT,5,5,HATCHBACK,5门5座两厢车
东风风神,紧凑型车,1,汽油,92,2014-03-19,2014,3,Q1,8.28,3,6.0,1.6,106.0,L4,0,5.0,MT,5,5,HATCHBACK,5门5座两厢车
东风风神,紧凑型车,1,汽油,92,2014-09-17,2014,9,Q3,8.28,3,6.0,1.5,116.0,L4,0,5.0,MT,5,5,HATCHBACK,5门5座两厢车
东风风神,紧凑型车,1,汽油,92,2014-03-19,2014,3,Q1,8.58,3,6.0,1.5,116.0,L4,0,4.0,AT,5,5,HATCHBACK,5门5座两厢车
东风风神,紧凑型车,1,汽油,92,2014-03-19,2014,3,Q1,9.18,3,6.0,1.5,116.0,L4,0,4.0,AT,5,5,HATCHBACK,5门5座两厢车
现代,紧凑型SUV,1,汽油,92,2025-11-07,2025,11,Q4,12.18,3,15.0,2.0,160.0,L4,0,6.0,AT,5,5,SUV,5门5座SUV
现代,紧凑型SUV,1,汽油,92,2025-11-07,2025,11,Q4,12.98,3,15.0,2.0,160.0,L4,0,6.0,AT,5,5,SUV,5门5座SUV
现代,紧凑型SUV,1,汽油,92,2025-11-07,2025,11,Q4,14.28,3,15.0,2.0,160.0,L4,0,6.0,AT,5,5,SUV,5门5座SUV
现代,紧凑型SUV,1,汽油,92,2023-06-18,2023,6,Q2,12.18,3,15.0,2.0,160.0,L4,0,6.0,AT,5,5,SUV,5门5座SUV
现代,紧凑型SUV,1,汽油,92,2023-06-18,2023,6,Q2,12.98,3,15.0,2.0,160.0,L4,0,6.0,AT,5,5,SUV,5门5座SUV
现代,紧凑型SUV,1,汽油,92,2023-06-18,2023,6,Q2,13.98,3,15.0,2.0,160.0,L4,0,6.0,AT,5,5,SUV,5门5座SUV
现代,紧凑型SUV,1,汽油,92,2023-08-25,2023,8,Q3,14.78,3,15.0,2.0,160.0,L4,0,6.0,AT,5,5,SUV,5门5座SUV
现代,紧凑型SUV,1,汽油,92,2023-08-25,2023,8,Q3,15.98,3,15.0,2.0,160.0,L4,0,6.0,AT,5,5,SUV,5门5座SUV
现代,紧凑型SUV,1,汽油,92,2023-08-25,2023,8,Q3,16.78,3,15.0,2.0,160.0,L4,0,6.0,AT,5,5,SUV,5门5座SUV
长安,紧凑型车,1,汽油,92,2012-03-29,2012,3,Q1,6.38,3,6.0,1.6,106.0,L4,0,5.0,MT,4,5,SEDAN,4门5座三厢车
长安,紧凑型车,1,汽油,92,2012-03-29,2012,3,Q1,6.98,3,6.0,1.6,106.0,L4,0,5.0,MT,4,5,SEDAN,4门5座三厢车
长安,紧凑型车,1,汽油,92,2012-03-29,2012,3,Q1,7.28,3,6.0,1.6,106.0,L4,0,5.0,MT,4,5,SEDAN,4门5座三厢车
一汽,小型车,1,汽油,92,2012-05-17,2012,5,Q2,3.1,3,6.0,1.0,65.0,L3,0,5.0,MT,4,5,SEDAN,4门5座三厢车
一汽,小型车,1,汽油,92,2012-05-17,2012,5,Q2,3.2,3,6.0,1.0,65.0,L3,0,5.0,MT,5,5,HATCHBACK,5门5座两厢车
一汽,小型车,1,汽油,92,2012-05-17,2012,5,Q2,3.3,3,6.0,1.0,65.0,L3,0,5.0,MT,4,5,SEDAN,4门5座三厢车
一汽,小型车,1,汽油,92,2012-05-17,2012,5,Q2,3.4,3,6.0,1.0,65.0,L3,0,5.0,MT,5,5,HATCHBACK,5门5座两厢车
一汽,小型车,1,汽油,92,2012-05-17,2012,5,Q2,3.5,3,6.0,1.0,65.0,L3,0,5.0,MT,4,5,SEDAN,4门5座三厢车
起亚,中型车,1,汽油,92,2013-06-07,2013,6,Q2,24.3,5,-1.0,2.4,180.0,L4,0,6.0,AT,4,5,SEDAN,4门5座三厢车
起亚,中型车,1,汽油,92,2013-06-07,2013,6,Q2,24.58,5,-1.0,2.4,173.0,L4,0,6.0,AT,4,5,SEDAN,4门5座三厢车
起亚,中型车,1,汽油,92,2013-06-07,2013,6,Q2,25.38,5,-1.0,2.4,180.0,L4,0,6.0,AT,4,5,SEDAN,4门5座三厢车
